date,btc_daily_tx,swift_daily_msgs
2025-02-22,396748,43918557
2025-02-23,312333,35154029
2025-02-24,386943,32299682
2025-02-25,296784,34410857
2025-02-26,352338,39238465
2025-02-27,308570,41706811
2025-02-28,337930,30920631
2025-03-01,395495,34266872
2025-03-02,412547,31309833
2025-03-03,361297,33073877
2025-03-04,338668,37645943
2025-03-05,401637,44130962
2025-03-06,316269,37363368
2025-03-07,410403,43013033
2025-03-08,344898,43397888
2025-03-09,412089,31814115
2025-03-10,309954,30671865
2025-03-11,403980,33014969
2025-03-12,403466,32424762
2025-03-13,377271,31048997
2025-03-14,363877,40404648
2025-03-15,332465,44969626
2025-03-16,284188,33536290
2025-03-17,309999,34307181
2025-03-18,376103,34263375
2025-03-19,405403,31509134
2025-03-20,333600,44129085
2025-03-21,391274,37964412
2025-03-22,387668,38291436
2025-03-23,339293,34848144
2025-03-24,363131,38935629
2025-03-25,320713,42926904
2025-03-26,410459,42304684
2025-03-27,283024,38152509
2025-03-28,350431,30843168
2025-03-29,312957,30946540
2025-03-30,304021,40272746
2025-03-31,316013,35106681
2025-04-01,369286,39933926
2025-04-02,363425,43016836
2025-04-03,350373,35774094
2025-04-04,397792,42546779
2025-04-05,409719,32072435
2025-04-06,350417,34377159
2025-04-07,350437,38686559
2025-04-08,404704,43428893
2025-04-09,290159,35382382
2025-04-10,398830,34987319
2025-04-11,424397,31872694
2025-04-12,289591,40109560
2025-04-13,391569,44543522
2025-04-14,369611,31074869
2025-04-15,422131,33438387
2025-04-16,403621,35468227
2025-04-17,369564,32312814
2025-04-18,405701,31861735
2025-04-19,391327,44992010
2025-04-20,383323,44493577
2025-04-21,360249,38954829
2025-04-22,384630,33624883
2025-04-23,376717,34222718
2025-04-24,389608,32422950
2025-04-25,344546,41590459
2025-04-26,375444,33803534
2025-04-27,301298,38662507
2025-04-28,375432,34801623
2025-04-29,404094,33635265
2025-04-30,359187,42742667
2025-05-01,417430,33570839
2025-05-02,372146,38643399
2025-05-03,326880,39527201
2025-05-04,403002,40795997
2025-05-05,371377,39759063
2025-05-06,311139,39856830
2025-05-07,359085,38137961
2025-05-08,330741,40676948
2025-05-09,336440,37025578
2025-05-10,336318,37615411
2025-05-11,332095,31991520
2025-05-12,420807,39998036
2025-05-13,371943,31505695
2025-05-14,380804,31231164
2025-05-15,390529,40525363
2025-05-16,332407,40763573
2025-05-17,356789,36793668
2025-05-18,396963,40996601
2025-05-19,298823,35071810
2025-05-20,407251,30019759
2025-05-21,326759,34279833
2025-05-22,383895,43313329
2025-05-23,417772,44291346
2025-05-24,388925,39246987
2025-05-25,367815,40938276
2025-05-26,398052,42651142
2025-05-27,378987,31018710
2025-05-28,352658,36039663
2025-05-29,410992,44739164
2025-05-30,367738,37764781
2025-05-31,378619,37524689
2025-06-01,379204,37653578
2025-06-02,332117,43598151
2025-06-03,335188,38057290
2025-06-04,387904,41762740
2025-06-05,327602,44828574
2025-06-06,389041,33814492
2025-06-07,285670,43974262
2025-06-08,344568,40824746
2025-06-09,366428,43154274
2025-06-10,318754,37362224
2025-06-11,395715,37765958
2025-06-12,321064,30990841
2025-06-13,358248,36423732
2025-06-14,367904,39371333
2025-06-15,317870,35259956
2025-06-16,353392,38962582
2025-06-17,332034,41395141
2025-06-18,291615,30605756
2025-06-19,355139,38685958
2025-06-20,380692,40656081
2025-06-21,340100,43722013
2025-06-22,280791,36669961
2025-06-23,298935,42091873
2025-06-24,359965,38607248
2025-06-25,385743,40373058
2025-06-26,393099,33304033
2025-06-27,370249,36545981
2025-06-28,388795,33864138
2025-06-29,297196,43733799
2025-06-30,423908,36587238
2025-07-01,387064,34996015
2025-07-02,329329,32462488
2025-07-03,376771,36092291
2025-07-04,307634,36350107
2025-07-05,389309,33229956
2025-07-06,276956,43749852
2025-07-07,387490,37425731
2025-07-08,413621,31858408
2025-07-09,283792,43340900
2025-07-10,358392,39815731
2025-07-11,421252,42830316
2025-07-12,356372,39733273
2025-07-13,397129,31813098
2025-07-14,311550,34302396
2025-07-15,360571,41466593
2025-07-16,367763,40253013
2025-07-17,405486,30497721
2025-07-18,353472,30765361
2025-07-19,374931,35447402
2025-07-20,330109,30087142
2025-07-21,367665,39286426
2025-07-22,310981,41275798
2025-07-23,392100,32235917
2025-07-24,295533,44891823
2025-07-25,333860,35279305
2025-07-26,306071,38311689
2025-07-27,378217,37268431
2025-07-28,363310,32693661
2025-07-29,320636,38645675
2025-07-30,289691,39921542
2025-07-31,379714,31974036
2025-08-01,281006,30144136
2025-08-02,300753,40176293
2025-08-03,405082,31568087
2025-08-04,299398,43321654
2025-08-05,424327,37777055
2025-08-06,370221,37455445
2025-08-07,384712,34922818
2025-08-08,295323,43344410
2025-08-09,378255,30413787
2025-08-10,342050,42164483
2025-08-11,416230,43927491
2025-08-12,318496,42106691
2025-08-13,331344,41529380
2025-08-14,414147,31408721
2025-08-15,401325,36618531
2025-08-16,346746,33316245
2025-08-17,394535,32190199
2025-08-18,402001,39854345
2025-08-19,382747,36409223
2025-08-20,310339,44830842
