date,btc_daily_tx,swift_daily_msgs
2025-02-22,305309,42232394
2025-02-23,415649,43238070
2025-02-24,316952,40092250
2025-02-25,275007,32424458
2025-02-26,420087,32651462
2025-02-27,347355,42476587
2025-02-28,405427,43701148
2025-03-01,333122,37553871
2025-03-02,312808,41244825
2025-03-03,301847,33860210
2025-03-04,284837,43887886
2025-03-05,342567,31909087
2025-03-06,376959,32589243
2025-03-07,366708,43680532
2025-03-08,376945,40423349
2025-03-09,338640,34144428
2025-03-10,312907,35571486
2025-03-11,359171,33956128
2025-03-12,401763,33624100
2025-03-13,391529,31764709
2025-03-14,376538,43554587
2025-03-15,411658,34962350
2025-03-16,400174,42159114
2025-03-17,275560,34359037
2025-03-18,407378,38616031
2025-03-19,284438,42298542
2025-03-20,403194,32113202
2025-03-21,384415,31788735
2025-03-22,389818,34426737
2025-03-23,326071,44308634
2025-03-24,320910,43221255
2025-03-25,358448,32102356
2025-03-26,361056,44108407
2025-03-27,332592,30785437
2025-03-28,376936,44458714
2025-03-29,404822,35820925
2025-03-30,292844,44157666
2025-03-31,302144,31921761
2025-04-01,318863,32248800
2025-04-02,397130,43417132
2025-04-03,297732,33050828
2025-04-04,286012,38621110
2025-04-05,329765,42616411
2025-04-06,326421,31051727
2025-04-07,353907,36590789
2025-04-08,337228,37944013
2025-04-09,391193,40953348
2025-04-10,318707,35193921
2025-04-11,358298,36427696
2025-04-12,334612,35976428
2025-04-13,394013,34911564
2025-04-14,306792,34970378
2025-04-15,347877,33558614
2025-04-16,294554,38834114
2025-04-17,377334,37360904
2025-04-18,299836,34084161
2025-04-19,419558,31530154
2025-04-20,296951,36662832
2025-04-21,286575,44050163
2025-04-22,320550,39246352
2025-04-23,302266,42619379
2025-04-24,353932,31508117
2025-04-25,275119,42003719
2025-04-26,401356,31508393
2025-04-27,377068,37851161
2025-04-28,326000,39125839
2025-04-29,352350,37757468
2025-04-30,285019,35383683
2025-05-01,317114,40836725
2025-05-02,343048,38086227
2025-05-03,400760,41124922
2025-05-04,384308,44832292
2025-05-05,367394,35668822
2025-05-06,290217,30546475
2025-05-07,384712,41069388
2025-05-08,368196,39702757
2025-05-09,297766,43995321
2025-05-10,337371,41919752
2025-05-11,380761,30176272
2025-05-12,298614,35844790
2025-05-13,294095,39076343
2025-05-14,396817,37201434
2025-05-15,410807,34725296
2025-05-16,291849,44443528
2025-05-17,391778,38180860
2025-05-18,407579,41884891
2025-05-19,359887,43206924
2025-05-20,282108,37143986
2025-05-21,299512,31908400
2025-05-22,336899,42789411
2025-05-23,291990,30179010
2025-05-24,284002,44557505
2025-05-25,342792,42293956
2025-05-26,373122,37056284
2025-05-27,342359,36461385
2025-05-28,294348,33156892
2025-05-29,415323,31992925
2025-05-30,347322,42916133
2025-05-31,324755,42290074
2025-06-01,419860,31415346
2025-06-02,370241,41098034
2025-06-03,320721,38238316
2025-06-04,372135,33645909
2025-06-05,356938,39551087
2025-06-06,275347,39200963
2025-06-07,391461,40279745
2025-06-08,380064,30207735
2025-06-09,333561,41257915
2025-06-10,321802,37388904
2025-06-11,401760,43935474
2025-06-12,277628,39779506
2025-06-13,405118,35774191
2025-06-14,389190,42339847
2025-06-15,407540,32619855
2025-06-16,381619,40067462
2025-06-17,385471,36985239
2025-06-18,328892,33745227
2025-06-19,329621,37547263
2025-06-20,286775,30258370
2025-06-21,298626,35445832
2025-06-22,406806,32985016
2025-06-23,326911,31817981
2025-06-24,367827,31338162
2025-06-25,388161,44069954
2025-06-26,353365,42407626
2025-06-27,351377,33975664
2025-06-28,396321,43336438
2025-06-29,369643,40746511
2025-06-30,298026,40480888
2025-07-01,353614,32489223
2025-07-02,370117,35760945
2025-07-03,402947,32080390
2025-07-04,320854,31482233
2025-07-05,290841,41122148
2025-07-06,362664,43887152
2025-07-07,341430,32153876
2025-07-08,279024,42711856
2025-07-09,291153,35848229
2025-07-10,276907,40895717
2025-07-11,409872,30020779
2025-07-12,328576,37164714
2025-07-13,346951,33852878
2025-07-14,384374,40391980
2025-07-15,402545,33607013
2025-07-16,332441,34173281
2025-07-17,360817,33869598
2025-07-18,333699,40333984
2025-07-19,348418,35973805
2025-07-20,344833,41583673
2025-07-21,376206,32933371
2025-07-22,331941,36770212
2025-07-23,363733,32611942
2025-07-24,345943,41789828
2025-07-25,345215,31318957
2025-07-26,288964,37932723
2025-07-27,307224,34051394
2025-07-28,417182,37562038
2025-07-29,377898,41619980
2025-07-30,333470,31509178
2025-07-31,279566,37712668
2025-08-01,392013,38926815
2025-08-02,325276,42382857
2025-08-03,360279,32131419
2025-08-04,323990,37944861
2025-08-05,411717,37678067
2025-08-06,304504,38325442
2025-08-07,380755,34403052
2025-08-08,342546,36243398
2025-08-09,373979,38227149
2025-08-10,382659,43202018
2025-08-11,394353,42937044
2025-08-12,329355,39790522
2025-08-13,297292,33425576
2025-08-14,374609,40066261
2025-08-15,315160,36238593
2025-08-16,377056,31672116
2025-08-17,398038,44106669
2025-08-18,327166,43949768
2025-08-19,303215,37944561
2025-08-20,375143,32639758
